Var_Name,Var_Label,Value,Value_Label,Data_Type,Var_Order,Question_Type
Birthdate,"What is your date of birth? MM/DD/YYYY,,text,STRING,1,text-entry
ZIPCODE,What is your zip code?,,text,STRING,2,text-entry
Race_2,What is your race/ethnicity? (Select all that apply) - American Indian/Alaska Native,0,No,INT,3,multi-select
Race_2,What is your race/ethnicity? (Select all that apply) - American Indian/Alaska Native,1,Yes,INT,3,multi-select
Race_3,What is your race/ethnicity? (Select all that apply) - Asian,0,No,INT,3,multi-select
Race_3,What is your race/ethnicity? (Select all that apply) - Asian,1,Yes,INT,3,multi-select
Race_4,What is your race/ethnicity? (Select all that apply) - Black or African American,0,No,INT,3,multi-select
Race_4,What is your race/ethnicity? (Select all that apply) - Black or African American,1,Yes,INT,3,multi-select
Race_5,What is your race/ethnicity? (Select all that apply) - Native Hawaiian or Other Pacific Islander,0,No,INT,3,multi-select
Race_5,What is your race/ethnicity? (Select all that apply) - Native Hawaiian or Other Pacific Islander,1,Yes,INT,3,multi-select
Race_6,What is your race/ethnicity? (Select all that apply) - White,0,No,INT,3,multi-select
Race_6,What is your race/ethnicity? (Select all that apply) - White,1,Yes,INT,3,multi-select
Race_7,"What is your race/ethnicity? (Select all that apply) - Other, please specify:",0,No,INT,3,multi-select
Race_7,"What is your race/ethnicity? (Select all that apply) - Other, please specify:",1,Yes,INT,3,multi-select
Race_8,What is your race/ethnicity? (Select all that apply) - Do not know / prefer not to say,0,No,INT,3,multi-select
Race_8,What is your race/ethnicity? (Select all that apply) - Do not know / prefer not to say,1,Yes,INT,3,multi-select
Race_7_TEXT,"What is your race/ethnicity? (Select all that apply) - Other, please specify: - TEXT",,text,STRING,4,multi-select text-entry
Artists_1,Who are your favorite artists? - Favorite,,text,STRING,4,text-entry form
Artists_2,Who are your favorite artists? - Second favorite,,text,STRING,4,text-entry form
Slogan_1,Rate each slogan on a scale from 1 to 5. - Slogan 1 Image,1,1 Bad,INT,5,matrix
Slogan_1,Rate each slogan on a scale from 1 to 5. - Slogan 1 Image,2,2,INT,5,matrix
Slogan_1,Rate each slogan on a scale from 1 to 5. - Slogan 1 Image,3,3 Neutral,INT,5,matrix
Slogan_1,Rate each slogan on a scale from 1 to 5. - Slogan 1 Image,4,4,INT,5,matrix
Slogan_1,Rate each slogan on a scale from 1 to 5. - Slogan 1 Image,5,5 Good,INT,5,matrix
Slogan_2,Rate each slogan on a scale from 1 to 5. - Slogan 2 Image,1,1 Bad,INT,5,matrix
Slogan_2,Rate each slogan on a scale from 1 to 5. - Slogan 2 Image,2,2,INT,5,matrix
Slogan_2,Rate each slogan on a scale from 1 to 5. - Slogan 2 Image,3,3 Neutral,INT,5,matrix
Slogan_2,Rate each slogan on a scale from 1 to 5. - Slogan 2 Image,4,4,INT,5,matrix
Slogan_2,Rate each slogan on a scale from 1 to 5. - Slogan 2 Image,5,5 Good,INT,5,matrix
